number,name,type1,type2,total,hp,attack,defense,sp_attack,sp_defense,speed,generation,legendary,total_scaled,type1_encoded
53,Persian,Normal,Flying,440.0,65.0,70.0,60.0,65.0,65.0,115.0,1,False,-0.007296763209052631,14.0
53,Alolan Persian,Dark,Flying,440.0,65.0,60.0,60.0,75.0,65.0,115.0,7,False,-0.007296763209052631,2.0
54,Psyduck,Water,Flying,320.0,50.0,52.0,48.0,65.0,50.0,55.0,1,False,-0.9963964673318446,19.0
55,Golduck,Water,Flying,500.0,80.0,82.0,78.0,95.0,80.0,85.0,1,False,0.4872530888523433,19.0
56,Mankey,Fighting,Flying,305.0,40.0,80.0,35.0,35.0,45.0,70.0,1,False,-1.1200339303471936,6.0
57,Primeape,Fighting,Flying,455.0,65.0,105.0,60.0,60.0,70.0,95.0,1,False,0.11634069980629635,6.0
58,Growlithe,Fire,Flying,350.0,55.0,70.0,45.0,70.0,50.0,60.0,1,False,-0.7491215413011466,7.0
59,Arcanine,Fire,Flying,555.0,90.0,110.0,80.0,100.0,80.0,95.0,1,False,0.9405904532419563,7.0
60,Poliwag,Water,Flying,300.0,40.0,50.0,40.0,40.0,40.0,90.0,1,False,-1.1612464180189765,19.0
61,Poliwhirl,Water,Flying,385.0,65.0,65.0,65.0,50.0,50.0,90.0,1,False,-0.4606341275986656,19.0
62,Poliwrath,Water,Fighting,510.0,90.0,95.0,95.0,70.0,90.0,70.0,1,False,0.5696780641959093,19.0
63,Abra,Psychic,Flying,310.0,25.0,20.0,15.0,105.0,55.0,90.0,1,False,-1.0788214426754106,16.0
64,Kadabra,Psychic,Flying,400.0,40.0,35.0,30.0,120.0,70.0,105.0,1,False,-0.3369966645833166,16.0
65,Alakazam,Psychic,Flying,500.0,55.0,50.0,45.0,135.0,95.0,120.0,1,False,0.4872530888523433,16.0
65,Mega Alakazam,Psychic,Flying,590.0,55.0,50.0,65.0,175.0,95.0,150.0,1,False,1.2290778669444373,16.0
66,Machop,Fighting,Flying,305.0,70.0,80.0,50.0,35.0,35.0,35.0,1,False,-1.1200339303471936,6.0
67,Machoke,Fighting,Flying,405.0,80.0,100.0,70.0,50.0,60.0,45.0,1,False,-0.29578417691153364,6.0
68,Machamp,Fighting,Flying,505.0,90.0,130.0,80.0,65.0,85.0,55.0,1,False,0.5284655765241263,6.0
68,Gigantamax Machamp,Fighting,Flying,505.0,90.0,130.0,80.0,65.0,85.0,55.0,1,False,0.5284655765241263,6.0
69,Bellsprout,Grass,Poison,300.0,50.0,75.0,35.0,70.0,30.0,40.0,1,False,-1.1612464180189765,11.0
70,Weepinbell,Grass,Poison,390.0,65.0,90.0,50.0,85.0,45.0,55.0,1,False,-0.4194216399268826,11.0
71,Victreebel,Grass,Poison,490.0,80.0,105.0,65.0,100.0,70.0,70.0,1,False,0.40482811350877734,11.0
72,Tentacool,Water,Poison,335.0,40.0,40.0,35.0,50.0,100.0,70.0,1,False,-0.8727590043164956,19.0
73,Tentacruel,Water,Poison,515.0,80.0,70.0,65.0,80.0,120.0,100.0,1,False,0.6108905518676924,19.0
74,Geodude,Rock,Ground,300.0,40.0,80.0,100.0,30.0,30.0,20.0,1,False,-1.1612464180189765,17.0
74,Alolan Geodude,Rock,Electric,300.0,40.0,80.0,100.0,30.0,30.0,20.0,7,False,-1.1612464180189765,17.0
75,Graveler,Rock,Ground,390.0,55.0,95.0,115.0,45.0,45.0,35.0,1,False,-0.4194216399268826,17.0
75,Alolan Graveler,Rock,Electric,390.0,55.0,95.0,115.0,45.0,45.0,35.0,7,False,-0.4194216399268826,17.0
76,Golem,Rock,Ground,495.0,80.0,120.0,130.0,55.0,65.0,45.0,1,False,0.4460406011805603,17.0
76,Alolan Golem,Rock,Electric,495.0,80.0,120.0,130.0,55.0,65.0,45.0,7,False,0.4460406011805603,17.0
77,Ponyta,Fire,Flying,410.0,50.0,85.0,55.0,65.0,65.0,90.0,1,False,-0.2545716892397506,7.0
77,Galarian Ponyta,Psychic,Fairy,410.0,50.0,85.0,55.0,65.0,65.0,90.0,8,False,-0.2545716892397506,16.0
78,Rapidash,Fire,Flying,500.0,65.0,100.0,70.0,80.0,80.0,105.0,1,False,0.4872530888523433,7.0
78,Galarian Rapidash,Psychic,Fairy,500.0,65.0,100.0,70.0,80.0,80.0,105.0,8,False,0.4872530888523433,16.0
79,Slowpoke,Water,Psychic,315.0,90.0,65.0,65.0,40.0,40.0,15.0,1,False,-1.0376089550036276,19.0
79,Galarian Slowpoke,Psychic,Flying,315.0,90.0,65.0,65.0,40.0,40.0,15.0,8,False,-1.0376089550036276,16.0
80,Slowbro,Water,Psychic,490.0,95.0,75.0,110.0,100.0,80.0,30.0,1,False,0.40482811350877734,19.0
80,Galarian Slowbro,Poison,Psychic,490.0,95.0,100.0,95.0,100.0,70.0,30.0,8,False,0.40482811350877734,15.0
80,Mega Slowbro,Water,Psychic,590.0,95.0,75.0,180.0,130.0,80.0,30.0,1,False,1.2290778669444373,19.0
81,Magnemite,Electric,Steel,325.0,25.0,35.0,70.0,95.0,55.0,45.0,1,False,-0.9551839796600615,4.0
82,Magneton,Electric,Steel,465.0,50.0,60.0,95.0,120.0,70.0,70.0,1,False,0.19876567514986235,4.0
83,Farfetch'd,Normal,Flying,352.0,52.0,90.0,55.0,58.0,62.0,60.0,1,False,-0.7326365462324333,14.0
83,Galarian Farfetched,Fighting,Flying,377.0,52.0,95.0,55.0,58.0,62.0,55.0,8,False,-0.5265741078735184,6.0
84,Doduo,Normal,Flying,310.0,35.0,85.0,45.0,35.0,35.0,75.0,1,False,-1.0788214426754106,14.0
85,Dodrio,Normal,Flying,460.0,60.0,110.0,70.0,60.0,60.0,100.0,1,False,0.15755318747807937,14.0
86,Seel,Water,Flying,325.0,65.0,45.0,55.0,45.0,70.0,45.0,1,False,-0.9551839796600615,19.0
87,Dewgong,Water,Ice,475.0,90.0,70.0,80.0,70.0,95.0,70.0,1,False,0.28119065049342834,19.0
88,Grimer,Poison,Flying,325.0,80.0,80.0,50.0,40.0,50.0,25.0,1,False,-0.9551839796600615,15.0
88,Alolan Grimer,Poison,Dark,325.0,80.0,80.0,50.0,40.0,50.0,25.0,7,False,-0.9551839796600615,15.0
89,Muk,Poison,Flying,500.0,105.0,105.0,75.0,65.0,100.0,50.0,1,False,0.4872530888523433,15.0
89,Alolan Muk,Poison,Dark,500.0,105.0,105.0,75.0,65.0,100.0,50.0,7,False,0.4872530888523433,15.0
90,Shellder,Water,Flying,305.0,30.0,65.0,100.0,45.0,25.0,40.0,1,False,-1.1200339303471936,19.0
91,Cloyster,Water,Ice,525.0,50.0,95.0,180.0,85.0,45.0,70.0,1,False,0.6933155272112583,19.0
92,Gastly,Ghost,Poison,310.0,30.0,35.0,30.0,100.0,35.0,80.0,1,False,-1.0788214426754106,9.0
93,Haunter,Ghost,Poison,405.0,45.0,50.0,45.0,115.0,55.0,95.0,1,False,-0.29578417691153364,9.0
94,Gengar,Ghost,Poison,500.0,60.0,65.0,60.0,130.0,75.0,110.0,1,False,0.4872530888523433,9.0
94,Mega Gengar,Ghost,Poison,600.0,60.0,65.0,80.0,170.0,95.0,130.0,1,False,1.3115028422880033,9.0
94,Gigantamax Gengar,Ghost,Poison,500.0,60.0,65.0,60.0,130.0,75.0,110.0,1,False,0.4872530888523433,9.0
95,Onix,Rock,Ground,385.0,35.0,45.0,160.0,30.0,45.0,70.0,1,False,-0.4606341275986656,17.0
96,Drowzee,Psychic,Flying,328.0,60.0,48.0,45.0,43.0,90.0,42.0,1,False,-0.9304564870569918,16.0
97,Hypno,Psychic,Flying,483.0,85.0,73.0,70.0,73.0,115.0,67.0,1,False,0.34713063076828116,16.0
98,Krabby,Water,Flying,325.0,30.0,105.0,90.0,25.0,25.0,50.0,1,False,-0.9551839796600615,19.0
99,Kingler,Water,Flying,475.0,55.0,130.0,115.0,50.0,50.0,75.0,1,False,0.28119065049342834,19.0
99,Gigantamax Kingler,Water,Flying,475.0,55.0,130.0,115.0,50.0,50.0,75.0,1,False,0.28119065049342834,19.0
100,Voltorb,Electric,Flying,330.0,40.0,30.0,50.0,55.0,55.0,100.0,1,False,-0.9139714919882785,4.0
101,Electrode,Electric,Flying,480.0,60.0,50.0,70.0,80.0,80.0,140.0,1,False,0.3224031381652113,4.0
102,Exeggcute,Grass,Psychic,325.0,60.0,40.0,80.0,60.0,45.0,40.0,1,False,-0.9551839796600615,11.0
103,Exeggutor,Grass,Psychic,520.0,95.0,95.0,85.0,125.0,65.0,55.0,1,False,0.6521030395394753,11.0
103,Alolan Exeggutor,Grass,Dragon,530.0,95.0,105.0,85.0,125.0,75.0,45.0,7,False,0.7345280148830413,11.0
104,Cubone,Ground,Flying,320.0,50.0,50.0,95.0,40.0,50.0,35.0,1,False,-0.9963964673318446,12.0
105,Marowak,Ground,Flying,425.0,60.0,80.0,110.0,50.0,80.0,45.0,1,False,-0.13093422622440162,12.0
105,Alolan Marowak,Fire,Ghost,425.0,60.0,80.0,110.0,50.0,80.0,45.0,7,False,-0.13093422622440162,7.0
106,Hitmonlee,Fighting,Flying,455.0,50.0,120.0,53.0,35.0,110.0,87.0,1,False,0.11634069980629635,6.0
107,Hitmonchan,Fighting,Flying,455.0,50.0,105.0,79.0,35.0,110.0,76.0,1,False,0.11634069980629635,6.0
108,Lickitung,Normal,Flying,385.0,90.0,55.0,75.0,60.0,75.0,30.0,1,False,-0.4606341275986656,14.0
109,Koffing,Poison,Flying,340.0,40.0,65.0,95.0,60.0,45.0,35.0,1,False,-0.8315465166447126,15.0
110,Weezing,Poison,Flying,490.0,65.0,90.0,120.0,85.0,70.0,60.0,1,False,0.40482811350877734,15.0
110,Galarian Weezing,Poison,Fairy,490.0,65.0,90.0,120.0,85.0,70.0,60.0,8,False,0.40482811350877734,15.0
111,Rhyhorn,Ground,Rock,345.0,80.0,85.0,95.0,30.0,30.0,25.0,1,False,-0.7903340289729296,12.0
112,Rhydon,Ground,Rock,485.0,105.0,130.0,120.0,45.0,45.0,40.0,1,False,0.36361562583699436,12.0
113,Chansey,Normal,Flying,450.0,250.0,5.0,5.0,35.0,105.0,50.0,1,False,0.07512821213451336,14.0
114,Tangela,Grass,Flying,435.0,65.0,55.0,115.0,100.0,40.0,60.0,1,False,-0.04850925088083563,11.0
115,Kangaskhan,Normal,Flying,490.0,105.0,95.0,80.0,40.0,80.0,90.0,1,False,0.40482811350877734,14.0
115,Mega Kangaskhan,Normal,Flying,590.0,105.0,125.0,100.0,60.0,100.0,100.0,1,False,1.2290778669444373,14.0
116,Horsea,Water,Flying,295.0,30.0,40.0,70.0,70.0,25.0,60.0,1,False,-1.2024589056907595,19.0
117,Seadra,Water,Flying,440.0,55.0,65.0,95.0,95.0,45.0,85.0,1,False,-0.007296763209052631,19.0
118,Goldeen,Water,Flying,320.0,45.0,67.0,60.0,35.0,50.0,63.0,1,False,-0.9963964673318446,19.0
119,Seaking,Water,Flying,450.0,80.0,92.0,65.0,65.0,80.0,68.0,1,False,0.07512821213451336,19.0
120,Staryu,Water,Flying,340.0,30.0,45.0,55.0,70.0,55.0,85.0,1,False,-0.8315465166447126,19.0
121,Starmie,Water,Psychic,520.0,60.0,75.0,85.0,100.0,85.0,115.0,1,False,0.6521030395394753,19.0
122,Mr. Mime,Psychic,Fairy,460.0,40.0,45.0,65.0,100.0,120.0,90.0,1,False,0.15755318747807937,16.0
122,Galarian Mr. Mime,Ice,Psychic,460.0,50.0,65.0,65.0,90.0,90.0,100.0,8,False,0.15755318747807937,13.0
123,Scyther,Bug,Flying,500.0,70.0,110.0,80.0,55.0,80.0,105.0,1,False,0.4872530888523433,1.0
124,Jynx,Ice,Psychic,455.0,65.0,50.0,35.0,115.0,95.0,95.0,1,False,0.11634069980629635,13.0
125,Electabuzz,Electric,Flying,490.0,65.0,83.0,57.0,95.0,85.0,105.0,1,False,0.40482811350877734,4.0
126,Magmar,Fire,Flying,495.0,65.0,95.0,57.0,100.0,85.0,93.0,1,False,0.4460406011805603,7.0
127,Pinsir,Bug,Flying,500.0,65.0,125.0,100.0,55.0,70.0,85.0,1,False,0.4872530888523433,1.0
127,Mega Pinsir,Bug,Flying,600.0,65.0,155.0,120.0,65.0,90.0,105.0,1,False,1.3115028422880033,1.0
128,Tauros,Normal,Flying,490.0,75.0,100.0,95.0,40.0,70.0,110.0,1,False,0.40482811350877734,14.0
129,Magikarp,Water,Flying,200.0,20.0,10.0,55.0,15.0,20.0,80.0,1,False,-1.9854961714546364,19.0
130,Gyarados,Water,Flying,540.0,95.0,125.0,79.0,60.0,100.0,81.0,1,False,0.8169529902266073,19.0
130,Mega Gyarados,Water,Dark,640.0,95.0,155.0,109.0,70.0,130.0,81.0,1,False,1.6412027436622671,19.0
131,Lapras,Water,Ice,535.0,130.0,85.0,80.0,85.0,95.0,60.0,1,False,0.7757405025548243,19.0
131,Gigantamax Lapras,Water,Ice,535.0,130.0,85.0,80.0,85.0,95.0,60.0,1,False,0.7757405025548243,19.0
132,Ditto,Normal,Flying,288.0,48.0,48.0,48.0,48.0,48.0,48.0,1,False,-1.2601563884312557,14.0
133,Eevee,Normal,Flying,325.0,55.0,55.0,50.0,45.0,65.0,55.0,1,False,-0.9551839796600615,14.0
133,Gigantamax Eevee,Normal,Flying,325.0,55.0,55.0,50.0,45.0,65.0,55.0,1,False,-0.9551839796600615,14.0
134,Vaporeon,Water,Flying,525.0,130.0,65.0,60.0,110.0,95.0,65.0,1,False,0.6933155272112583,19.0
135,Jolteon,Electric,Flying,525.0,65.0,65.0,60.0,110.0,95.0,130.0,1,False,0.6933155272112583,4.0
136,Flareon,Fire,Flying,525.0,65.0,130.0,60.0,95.0,110.0,65.0,1,False,0.6933155272112583,7.0
137,Porygon,Normal,Flying,395.0,65.0,60.0,70.0,85.0,75.0,40.0,1,False,-0.3782091522550996,14.0
138,Omanyte,Rock,Water,355.0,35.0,40.0,100.0,90.0,55.0,35.0,1,False,-0.7079090536293636,17.0
139,Omastar,Rock,Water,495.0,70.0,60.0,125.0,115.0,70.0,55.0,1,False,0.4460406011805603,17.0
140,Kabuto,Rock,Water,355.0,30.0,80.0,90.0,55.0,45.0,55.0,1,False,-0.7079090536293636,17.0
141,Kabutops,Rock,Water,495.0,60.0,115.0,105.0,65.0,70.0,80.0,1,False,0.4460406011805603,17.0
142,Aerodactyl,Rock,Flying,515.0,80.0,105.0,65.0,60.0,75.0,130.0,1,False,0.6108905518676924,17.0
142,Mega Aerodactyl,Rock,Flying,615.0,80.0,135.0,85.0,70.0,95.0,150.0,1,False,1.4351403053033522,17.0
143,Snorlax,Normal,Flying,540.0,160.0,110.0,65.0,65.0,110.0,30.0,1,False,0.8169529902266073,14.0
143,Gigantamax Snorlax,Normal,Flying,540.0,160.0,110.0,65.0,65.0,110.0,30.0,1,False,0.8169529902266073,14.0
144,Articuno,Ice,Flying,580.0,90.0,85.0,100.0,95.0,125.0,85.0,1,True,1.1466528916008714,13.0
144,Galarian Articuno,Psychic,Flying,580.0,90.0,85.0,85.0,125.0,100.0,95.0,8,True,1.1466528916008714,16.0
145,Zapdos,Electric,Flying,580.0,90.0,90.0,85.0,125.0,90.0,100.0,1,True,1.1466528916008714,4.0
145,Galarian Zapdos,Fighting,Flying,580.0,90.0,125.0,90.0,85.0,90.0,100.0,8,True,1.1466528916008714,6.0
146,Moltres,Fire,Flying,580.0,90.0,100.0,90.0,125.0,85.0,90.0,1,True,1.1466528916008714,7.0
146,Galarian Moltres,Dark,Flying,580.0,90.0,85.0,90.0,100.0,125.0,90.0,8,True,1.1466528916008714,2.0
147,Dratini,Dragon,Flying,300.0,41.0,64.0,45.0,50.0,50.0,50.0,1,False,-1.1612464180189765,3.0
148,Dragonair,Dragon,Flying,420.0,61.0,84.0,65.0,70.0,70.0,70.0,1,False,-0.1721467138961846,3.0
149,Dragonite,Dragon,Flying,600.0,91.0,134.0,95.0,100.0,100.0,80.0,1,False,1.3115028422880033,3.0
150,Mewtwo,Psychic,Flying,680.0,106.0,110.0,90.0,154.0,90.0,130.0,1,True,1.9709026450365312,16.0
150,Mega Mewtwo X,Psychic,Fighting,780.0,106.0,190.0,100.0,154.0,100.0,130.0,1,True,2.795152398472191,16.0
150,Mega Mewtwo Y,Psychic,Flying,780.0,106.0,150.0,70.0,194.0,120.0,140.0,1,True,2.795152398472191,16.0
151,Mew,Psychic,Flying,600.0,100.0,100.0,100.0,100.0,100.0,100.0,1,True,1.3115028422880033,16.0
152,Chikorita,Grass,Flying,318.0,45.0,49.0,65.0,49.0,65.0,45.0,2,False,-1.0128814624005578,11.0
153,Bayleef,Grass,Flying,405.0,60.0,62.0,80.0,63.0,80.0,60.0,2,False,-0.29578417691153364,11.0
154,Meganium,Grass,Flying,525.0,80.0,82.0,100.0,83.0,100.0,80.0,2,False,0.6933155272112583,11.0
155,Cyndaquil,Fire,Flying,309.0,39.0,52.0,43.0,60.0,50.0,65.0,2,False,-1.087063940209767,7.0
156,Quilava,Fire,Flying,405.0,58.0,64.0,58.0,80.0,65.0,80.0,2,False,-0.29578417691153364,7.0
157,Typhlosion,Fire,Flying,534.0,78.0,84.0,78.0,109.0,85.0,100.0,2,False,0.7674980050204677,7.0
158,Totodile,Water,Flying,314.0,50.0,65.0,64.0,44.0,48.0,43.0,2,False,-1.045851452537984,19.0
159,Croconaw,Water,Flying,405.0,65.0,80.0,80.0,59.0,63.0,58.0,2,False,-0.29578417691153364,19.0
160,Feraligatr,Water,Flying,530.0,85.0,105.0,100.0,79.0,83.0,78.0,2,False,0.7345280148830413,19.0
161,Sentret,Normal,Flying,215.0,35.0,46.0,34.0,35.0,45.0,20.0,2,False,-1.8618587084392875,14.0
162,Furret,Normal,Flying,415.0,85.0,76.0,64.0,45.0,55.0,90.0,2,False,-0.21335920156796762,14.0
163,Hoothoot,Normal,Flying,262.0,60.0,30.0,30.0,36.0,56.0,50.0,2,False,-1.4744613243245273,14.0
164,Noctowl,Normal,Flying,442.0,100.0,50.0,50.0,76.0,96.0,70.0,2,False,0.009188231859660568,14.0
165,Ledyba,Bug,Flying,265.0,40.0,20.0,30.0,40.0,80.0,55.0,2,False,-1.4497338317214574,1.0
166,Ledian,Bug,Flying,390.0,55.0,35.0,50.0,55.0,110.0,85.0,2,False,-0.4194216399268826,1.0
